PCB,Type,Reference,Value,Quantity,Footprint,Part Number,DNP,Datasheet
Hardware / Off-the-Shelf,Servo Motor,,80KG High Torque Digital Servo (270°),3,,80KG 270°,,"1/5 scale waterproof metal gear servos for base, shoulder, and elbow joints"
Hardware / Off-the-Shelf,Servo Motor,,MG996R Metal Gear Digital Servo,4,,MG996R,,4.8V–6.0V high torque standard servos for wrist and gripper joints
Hardware / Off-the-Shelf,Hardware,,18T Round Disc Metal Servo Horn,2,,18T Disc,,Round disc steering servo horn for 60KG/80KG/150KG servos
Hardware / Off-the-Shelf,Hardware,,MG996R Metal Servo Horns (25T),4,,25T Horn,,Metal steering servo horns for MG996R servos
Hardware / Off-the-Shelf,Bearing,,6806-2RS Deep Groove Ball Bearings,2,,6806-2RS,,30mm ID x 42mm OD x 7mm bore double sealed chrome steel bearings for joints
Hardware / Off-the-Shelf,Magnet,,Radial Magnet for AS5600,4,,Radial Magnet,,Diametrically / radially magnetized disc magnets for AS5600 magnetic encoders
Hardware / Off-the-Shelf,Magnet,,6x2mm Neodymium Disc Magnets (N35),1 pack,,N35 6x2mm,,Permanent NdFeB round magnets for latching/accessories
Hardware / Off-the-Shelf,Fastener,,M2.5 Heat-Set Brass Threaded Inserts,100 pcs,,M2.5*3*4,,M2.5 x 3mm x 4mm knurled embed nuts for 3D printed components
Hardware / Off-the-Shelf,Fastener,,M2.5 Screw Assortment,1 pack,,M2.5 Assorted,,Assorted lengths for robot arm structure and PCB mounting
Hardware / Off-the-Shelf,Fastener,,M3 Low-Profile Socket Head Screws,1 pack,,M3 Hex Cap,,304 stainless steel Allen hex thin/short head cap bolts
Hardware / Off-the-Shelf,Power Supply,,180W Dell Power Supply AC Adapter,1,,Dell 180W,,19.5V 180W power brick for main system power
Hardware / Off-the-Shelf,Adapter,,Dell 7.4x5.0mm to XT60 Adapter (XT-017),1,,XT-017,,Converts Dell power brick 7.4x5.0mm barrel jack to XT60 plug
Hardware / Off-the-Shelf,Buck Converter Module,,10A Step-Down Buck Converter Module,2,,10A Buck,,4-32V to 1.2-32V adjustable CV/CC step-down regulator for servo/system power
Hardware / Off-the-Shelf,Buck Converter Module,,MP1584EN 3A Buck Converter Module,2,,MP1584EN,,Ultra-compact 3A adjustable DC-DC step-down power module (Mini360 style)
Hardware / Off-the-Shelf,Switch,,Red Mushroom Emergency Stop Switch,1,,E-STOP DPST,,"1NO 1NC DPST latching push-button E-STOP switch (660V 10A, plugs into J17)"
Hardware / Off-the-Shelf,Camera,,Aptina AR0144 720P 60fps Global Shutter Camera,1,,AR0144,,High-speed 170° fisheye USB camera module for tracking and vision
Hardware / Off-the-Shelf,Camera,,OV9726 1MP USB Camera Module,4,,OV9726,,720P CMOS 50° FOV USB cameras (used in camera_server.py)
