Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
C10,CP_Radial_D6.3mm_P2.50mm,1,100uF,732-8707-1-ND
C5,0805,1,0.1uF,
"J1, J3",JST_1x04_P2.0mm_Vertical_PTH,2,Main Connector,
J11,PinHeader_1x05_P2.54mm_Vertical,1,RPi 5 SPI,
J18,PinHeader_1x01_P2.54mm_Vertical,1,BUZZER,
J2,JST_1x04_P1.25mm_Locking_Horizontal_SMD,1,Data In,
J22,PinHeader_1x03_P2.54mm_Vertical,1,SERVO CONN,
J23,PinHeader_1x02_P2.54mm_Vertical,1,FAN PWR,
J25,PinHeader_1x03_P2.54mm_Vertical,1,Conn,
J27,PinHeader_1x02_P2.54mm_Vertical,1,3V3,
J30,PinHeader_1x02_P2.54mm_Vertical,1,I2C,
"J32, J36",PinHeader_1x01_P2.54mm_Vertical,2,Conn,
R10,0805,1,10k,
R11,0805,1,1.5k,
R4,0805,1,120R,
"R8, R9",0805,2,4.7k,
"U2, U3",Mini360_step-down,2,Mini360,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,THVD1420D,
