Designator,Mid X,Mid Y,Rotation,Layer
A1,127.042105,-98.341419,90.0,top
C10,195.289881,-90.473581,0.0,top
C5,156.15026,-87.077581,180.0,top
H1,176.15026,-111.102581,270.0,top
H2,191.15026,-111.077581,90.0,top
J1,157.16426,-104.443581,90.0,top
J11,136.11026,-113.077581,90.0,top
J18,196.5,-113.0,0.0,top
J2,163.654149,-111.455572,180.0,top
J22,148.54,-113.0,90.0,top
J23,197.5,-101.27,0.0,top
J25,111.04,-113.0,90.0,top
J27,163.88026,-87.577581,270.0,top
J3,157.16426,-93.267581,90.0,top
J30,125.27,-113.0,90.0,top
J32,156.5,-113.0,90.0,top
J36,170.5,-113.0,90.0,top
R10,144.5,-103.0,180.0,bottom
R11,140.5,-103.0,180.0,bottom
R4,164.65026,-109.577581,0.0,bottom
R8,131.10026,-102.577581,90.0,bottom
R9,128.15026,-102.577581,90.0,bottom
U2,172.780169,-98.224074,90.0,top
U3,185.226169,-98.224074,90.0,top
U7,146.83526,-95.996581,180.0,bottom
