"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico","","","","Module:RaspberryPi_Pico_Common_Unspecified","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"C5","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C10","1","100uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"J1,J3","2","Main Connector","","","","PCM_SparkFun-Connector:JST_1x04_P2.0mm_Vertical_PTH","https://www.sparkfun.com/datasheets/Prototyping/ePH.pdf"
"J2","1","Data In","","","","PCM_SparkFun-Connector:JST_1x04_P1.25mm_Locking_Horizontal_SMD","https://www.jst-mfg.com/product/pdf/eng/eGH.pdf"
"J11","1","RPi 5 SPI","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"J18","1","BUZZER","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"J22","1","SERVO CONN","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J23","1","FAN PWR","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J25","1","Conn","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J27","1","3V3","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J30","1","I2C","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J32,J36","2","Conn","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"R4","1","120R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R8,R9","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R10","1","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R11","1","1.5k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U2,U3","2","Mini360","","","","Mini360_step-down:Mini360_step-down",""
"U7","1","THVD1420D","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/thvd1420.pdf"
