Designator,Footprint,Quantity,Value,LCSC Part #
C11,CP_Radial_D10.0mm_P5.00mm,1,1000uF,16ZLH1000MEFC10X16
"C12, C13",0805,2,10uF,
C2,CP_Radial_D10.0mm_P5.00mm,1,470uF,35ZLH470MEFCT810X16
"C3, C4, C6",CP_Radial_D10.0mm_P5.00mm,3,470uF,25ZLH470MEFC10X12.5
"C7, C8, C9",0805,3,0.1uF,
D1,D_SMA,1,SS34,
D2,DO-214AC,1,SS54,SS54
"D5, D6",0805,2,LED,
F1,Fuse_1808,1,25A,
F2,Fuse_1808,1,10A,
"J10, J8, J9",PinHeader_1x03_P2.54mm_Vertical,3,DS5180,
J12,PinHeader_1x03_P2.54mm_Vertical,1,SERVO CONN,
J13,KF7.62_2P,1,KF301-2P,
"J14, J16, J19",HANDSON_KF301-2P,3,KF301-2P,
J15,PinHeader_1x01_P2.54mm_Vertical,1,BUZZER,
J17,PinHeader_1x02_P2.54mm_Vertical,1,E-STOP,
"J20, J4, J5, J6, J7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,5,JST_2mm_LiPo,
J21,AMASS_XT60-M,1,XT60-M,
J24,PinHeader_1x02_P2.54mm_Vertical,1,FAN PWR,
J26,PinHeader_1x03_P2.54mm_Vertical,1,Conn,
J28,PinHeader_1x02_P2.54mm_Vertical,1,3V3,
J29,PinHeader_1x02_P2.54mm_Vertical,1,I2C,
"J34, J35",PinHeader_1x01_P2.54mm_Vertical,2,Conn,
LS1,CUI_CEM-1206S,1,CEM-1206S,
Q2,SOT-23,1,2N7002,
Q3,TO-252-2,1,AOD4185,
Q4,SOT-23,1,BSS138,
"R1, R2, R3",2512,3,0.02R 2W,CRA2512-FZ-R020ELF
R20,0805,1,330R,
R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2.2K,
R22,0805,1,100R,
"R23, R5, R6, R7",0805,4,10k,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,Home,
U1,IC_HT7333,1,HT7350,
"U10, U6, U9",SOIC-8_3.9x4.9mm_P1.27mm,3,INA219AxD,
X1,B2PS-VH,1,Power,
