Designator,Mid X,Mid Y,Rotation,Layer
C11,177.380627,-109.235202,180.0,top
C12,192.532,-101.854,0.0,bottom
C13,187.0,-99.0,0.0,bottom
C2,114.367677,-98.0,180.0,top
C3,140.62068,-101.988069,0.0,top
C4,154.12068,-101.988069,0.0,top
C6,166.0,-102.0,0.0,top
C7,159.778104,-97.68841,270.0,top
C8,174.0,-97.75,270.0,top
C9,146.75,-97.75,270.0,top
D1,187.452,-111.252,180.0,bottom
D2,127.75,-106.25,270.0,top
D5,117.506963,-112.952434,0.0,top
D6,105.41,-112.014,270.0,top
F1,127.75,-94.25,90.0,top
F2,186.5,-100.5,0.0,top
J10,165.75,-109.215722,90.0,top
J12,148.54,-113.0,90.0,top
J13,122.5,-102.25,90.0,bottom
J14,139.0,-89.279332,0.0,bottom
J15,196.5,-113.0,90.0,top
J16,177.0,-104.0,180.0,bottom
J17,134.091155,-112.964254,90.0,top
J19,174.0,-89.240811,0.0,bottom
J20,196.5,-91.5,90.0,top
J21,104.648,-93.218,270.0,top
J24,197.5,-101.27,0.0,top
J26,111.04,-113.0,90.0,top
J28,163.73,-87.5,270.0,top
J29,125.27,-113.0,90.0,top
J34,156.5,-113.0,90.0,top
J35,170.5,-113.0,90.0,top
J4,190.436366,-88.599332,180.0,top
J5,183.177549,-88.594781,180.0,top
J6,190.5,-95.5,180.0,top
J7,183.25,-95.500356,180.0,top
J8,141.20487,-109.215722,90.0,top
J9,153.96,-109.215722,90.0,top
LS1,189.004,-108.204,0.0,top
Q2,120.75,-88.75,180.0,bottom
Q3,116.84,-89.0725,0.0,top
Q4,197.5,-106.5,0.0,bottom
R1,138.0,-96.25,180.0,bottom
R2,153.0,-92.45,270.0,bottom
R20,117.483963,-112.918434,180.0,bottom
R21,101.854,-107.696,270.0,top
R22,193.0,-112.0,90.0,bottom
R23,197.5,-109.5,0.0,bottom
R3,166.25,-95.7,270.0,bottom
R5,113.25,-87.75,270.0,bottom
R6,116.5,-87.75,90.0,bottom
R7,126.25,-87.75,0.0,bottom
SW1,109.0,-105.5,180.0,top
U1,187.476,-103.51,0.0,bottom
U10,173.854675,-96.75,270.0,bottom
U6,146.704333,-96.75,270.0,bottom
U9,159.732486,-96.75,270.0,bottom
X1,177.0,-112.6369,0.0,bottom
