"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","MPN","Footprint","Datasheet"
"C2,C3,C4,C6","4","470uF","","","","25ZLH470MEFC10X12.5,35ZLH470MEFCT810X16","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C7,C8,C9","3","0.1uF","","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C11","1","1000uF","","","","16ZLH1000MEFC10X16","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C12,C13","2","10uF","","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","SS34","","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"D2","1","SS54","","","","SS54","SS54:DO-214AC",""
"D5,D6","2","LED","","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"F1","1","25A","","","","","ray:Fuse_1808",""
"F2","1","10A","","","","","ray:Fuse_1808",""
"J4,J5,J6,J7,J20","5","JST_2mm_LiPo","","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"J8,J9,J10","3","DS5180","","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J12","1","SERVO CONN","","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J13","1","KF301-2P","","","","","KF7.62:KF7.62_2P",""
"J14,J16,J19","3","KF301-2P","","","","","KF301-2P:HANDSON_KF301-2P",""
"J15","1","BUZZER","","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"J17","1","E-STOP","","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J21","1","XT60-M","","","","","XT60-M:AMASS_XT60-M",""
"J24","1","FAN PWR","","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J26","1","Conn","","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J28","1","3V3","","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J29","1","I2C","","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J34,J35","2","Conn","","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"LS1","1","CEM-1206S","","","","","CEM_1206S:CUI_CEM-1206S",""
"Q2","1","2N7002","","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"Q3","1","AOD4185","","","","","Package_TO_SOT_SMD:TO-252-2","AOD4185"
"Q4","1","BSS138","","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R1,R2,R3","3","0.02R 2W","","","","CRA2512-FZ-R020ELF","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",""
"R5,R6,R7,R23","4","10k","","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R20","1","330R","","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R21","1","2.2K","","","","13-MFR50SFTE52-2K2CT-ND","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R22","1","100R","","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"SW1","1","Home","","","","","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",""
"U1","1","HT7350","","","","","HT7333:IC_HT7333",""
"U6,U9,U10","3","INA219AxD","","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf"
"X1","1","Power","","","","","B2PS-VH:B2PS-VH",""
