Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C7",0805,4,0.1uF,
C4,CP_Elec_6.3x5.4,1,100uF,
"C8, C9",0805,2,10uF,
D1,D_SMA,1,SS34,
"D3, D4, D5",0805,3,LED,
J1,PinSocket_1x03_P2.54mm_Vertical,1,Programming,
J2,JST_1x04_P1.25mm_Locking_Horizontal_SMD,1,Data In,
J3,JST_1x04_P1.25mm_Locking_Horizontal_SMD,1,Data Out,
J4,PinSocket_1x03_P2.54mm_Vertical,1,Motor,
J6,PinHeader_1x06_P2.54mm_Horizontal,1,Sensor Board Connector,
"JP1, JP2, JP3",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,3,Jumper_2_Open,
R1,2512,1,0.1R 2W,
"R11, R12, R15",0805,3,4.7k,
R13,0805,1,330R,
"R14, R20",0805,2,220R,
"R16, R19",0805,2,10k,
R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,NTC 10k,
R18,0805,1,20k,
R4,0805,1,120R,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,Home,
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,Step,
"TP1, TP10, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint-1.0mm,10,1.0mm,
U1,SOIC-20W_7.5x12.8mm_P1.27mm,1,ATtiny3216-S,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,THVD1420D,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AxD,
U6,IC_HT7333,1,HT7333,
X1,B2PS-VH,1,Power,
X2,B2PS-VH,1,Power Out,
