Designator,Mid X,Mid Y,Rotation,Layer
C1,143.764,-88.392,270.0,top
C3,161.036,-103.378,270.0,bottom
C4,162.306,-104.648,270.0,top
C5,155.363965,-110.744,270.0,top
C7,158.242,-97.536,180.0,bottom
C8,135.335304,-93.43961,0.0,bottom
C9,134.874,-104.648,90.0,bottom
D1,164.338,-103.124,90.0,bottom
D3,132.08,-78.232,0.0,top
D4,130.81,-97.291,270.0,top
D5,150.368,-89.163,270.0,top
J1,131.318,-105.918,0.0,top
J2,133.674,-115.062,270.0,top
J3,166.308636,-115.117462,90.0,top
J4,167.894,-103.886,0.0,top
J6,148.59,-81.534,90.0,top
JP1,157.218388,-118.609904,180.0,top
JP2,150.106388,-118.609904,180.0,top
JP3,142.994388,-118.609904,180.0,top
R1,157.734,-103.632,270.0,bottom
R11,158.75,-88.392,90.0,top
R12,161.29,-88.408,90.0,top
R13,132.08,-81.026,180.0,top
R14,131.572,-100.33,0.0,bottom
R15,135.89,-105.918,180.0,top
R16,164.084,-92.964,0.0,bottom
R17,168.148,-95.504,90.0,top
R18,144.018,-92.71,90.0,bottom
R19,144.018,-96.504,90.0,bottom
R20,158.75,-93.726,180.0,bottom
SW1,137.403941,-93.467265,180.0,top
SW2,137.338941,-98.293265,180.0,top
TP1,143.084685,-100.920685,0.0,bottom
TP10,167.767425,-111.931315,270.0,bottom
TP2,143.084685,-103.102055,0.0,bottom
TP3,143.084685,-105.283425,0.0,bottom
TP4,151.466685,-85.515315,270.0,bottom
TP5,153.648055,-85.515315,270.0,bottom
TP6,136.884055,-108.121315,90.0,bottom
TP7,134.702685,-108.121315,90.0,bottom
TP8,163.404685,-111.931315,270.0,bottom
TP9,165.586055,-111.931315,270.0,bottom
U1,149.963365,-98.086132,270.0,top
U2,150.302,-110.236,180.0,top
U3,163.195,-95.693,180.0,top
U6,136.422,-98.684,0.0,bottom
X1,165.600076,-86.928107,90.0,top
X2,132.410577,-86.855398,270.0,top
