"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C5,C7","4","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C4","1","100uF","","","","Capacitor_SMD:CP_Elec_6.3x5.4",""
"C8,C9","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"D3,D4,D5","3","LED","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"J1","1","Programming","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"J2","1","Data In","","","","PCM_SparkFun-Connector:JST_1x04_P1.25mm_Locking_Horizontal_SMD","https://www.jst-mfg.com/product/pdf/eng/eGH.pdf"
"J3","1","Data Out","","","","PCM_SparkFun-Connector:JST_1x04_P1.25mm_Locking_Horizontal_SMD","https://www.jst-mfg.com/product/pdf/eng/eGH.pdf"
"J4","1","Motor","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"J6","1","Sensor Board Connector","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal",""
"JP1,JP2,JP3","3","Jumper_2_Open","","","","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"R1","1","0.1R 2W","","","","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",""
"R4","1","120R","DNP","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R11,R12,R15","3","4.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R13","1","330R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R14,R20","2","220R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R16,R19","2","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R17","1","NTC 10k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R18","1","20k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"SW1","1","Home","","","","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",""
"SW2","1","Step","","","","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10","10","1.0mm","","","","PCM_SparkFun-Connector:TestPoint-1.0mm",""
"U1","1","ATtiny3216-S","","","","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny3216_ATtiny1616-data-sheet-40001997B.pdf"
"U2","1","THVD1420D","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/thvd1420.pdf"
"U3","1","INA219AxD","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf"
"U6","1","HT7333","","","","HT7333:IC_HT7333",""
"X1","1","Power","","","","B2PS-VH:B2PS-VH",""
"X2","1","Power Out","","","","B2PS-VH:B2PS-VH",""
